o_zone_id,d_zone_id,volume,
3,33,28.8821,
3,34,85.2063,
3,35,13.1210,
3,36,37.6828,
3,37,63.7647,
3,38,72.1654,
3,39,13.2010,
3,40,11.1208,
3,41,274.7404,
4,1,83.4804,
4,2,45.2397,
4,3,69.3917,
4,4,5.6754,
4,5,36.6632,
4,6,33.5082,
4,7,29.9180,
4,8,2.1215,
4,9,54.8497,
4,10,5.9292,
4,11,57.1344,
4,12,4.1704,
4,13,24.6597,
4,14,70.3708,
4,15,29.4103,
4,16,22.2844,
4,17,16.8085,
4,18,6.5457,
4,19,12.2211,
4,20,4.3154,
4,21,17.4794,
4,22,2.4841,
4,23,10.0996,
4,24,6.7633,
4,25,8.1413,
4,26,3.9165,
4,27,6.7089,
4,28,9.2837,
4,29,5.2039,
4,30,3.6083,
4,31,15.8838,
4,32,15.7750,
4,33,6.5457,
4,34,19.3107,
4,35,2.9737,
4,36,8.5402,
4,37,14.4513,
4,38,16.3552,
4,39,2.9918,
4,40,2.5204,
4,41,62.2658,
5,1,129.9992,
5,2,70.4492,
5,3,108.0597,
5,4,8.8379,
5,5,57.0935,
5,6,52.1804,
5,7,46.5896,
5,8,3.3036,
5,9,85.4143,
5,10,9.2332,
5,11,88.9721,
5,12,6.4943,
5,13,38.4012,
5,14,109.5845,
5,15,45.7990,
5,16,34.7022,
5,17,26.1749,
5,18,10.1932,
5,19,19.0312,
5,20,6.7202,
5,21,27.2196,
5,22,3.8684,
5,23,15.7275,
5,24,10.5321,
5,25,12.6780,
5,26,6.0990,
5,27,10.4474,
5,28,14.4569,
5,29,8.1038,
5,30,5.6190,
5,31,24.7349,
5,32,24.5654,
5,33,10.1932,
5,34,30.0715,
5,35,4.6307,
5,36,13.2992,
5,37,22.5042,
5,38,25.4690,
5,39,4.6590,
5,40,3.9248,
5,41,96.9629,
6,1,156.0380,
6,2,84.5602,
6,3,129.7041,
6,4,10.6081,
6,5,68.5293,
6,6,62.6321,
6,7,55.9215,
6,8,3.9653,
6,9,102.5228,
