node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,geometry,osm_node_id,railway,level_crossing,access,description,,
106,,-87.630763,41.651678,,,0,"POINT (-87.630763 41.651678)",711103136,,,,,,
107,,-87.629065,41.651683,,,0,"POINT (-87.629065 41.651683)",711103138,,,,,,
108,,-87.627773,41.651682,,,0,"POINT (-87.627773 41.651682)",711103145,,,,,,
109,,-87.627635,41.651683,,,0,"POINT (-87.627635 41.651683)",711103148,,,,,,
110,,-87.627553,41.651673,,,0,"POINT (-87.627553 41.651673)",711103150,,,,,,
111,,-87.627452,41.651658,,,0,"POINT (-87.627452 41.651658)",711103152,,,,,,
112,,-87.627332,41.651629,,,0,"POINT (-87.627332 41.651629)",711103153,,,,,,
113,,-87.626666,41.651415,,,0,"POINT (-87.626666 41.651415)",711103155,,,,,,
114,,-87.626295,41.651295,,,0,"POINT (-87.626295 41.651295)",711103157,,,,,,
115,,-87.626193,41.651271,,,0,"POINT (-87.626193 41.651271)",711103159,,,,,,
116,,-87.626092,41.651257,,,0,"POINT (-87.626092 41.651257)",711103161,,,,,,
117,,-87.625990,41.651253,,,0,"POINT (-87.625990 41.651253)",711103163,,,,,,
118,,-87.625906,41.651258,,,0,"POINT (-87.625906 41.651258)",711103165,,,,,,
119,,-87.625816,41.651276,,,0,"POINT (-87.625816 41.651276)",711103167,,,,,,
120,,-87.625733,41.651299,,,0,"POINT (-87.625733 41.651299)",711103168,,,,,,
121,,-87.625655,41.651333,,,0,"POINT (-87.625655 41.651333)",711103169,,,,,,
122,,-87.625571,41.651376,,,0,"POINT (-87.625571 41.651376)",711103170,,,,,,
123,,-87.625521,41.651418,,,0,"POINT (-87.625521 41.651418)",711103171,,,,,,
124,,-87.625473,41.651465,,,0,"POINT (-87.625473 41.651465)",711103173,,,,,,
125,,-87.625424,41.651531,,,0,"POINT (-87.625424 41.651531)",711103174,,,,,,
126,,-87.625388,41.651597,,,0,"POINT (-87.625388 41.651597)",711103175,,,,,,
127,,-87.625370,41.651654,,,0,"POINT (-87.625370 41.651654)",711103176,,,,,,
128,,-87.625359,41.651715,,,0,"POINT (-87.625359 41.651715)",711103177,,,,,,
129,,-87.625363,41.651790,,,0,"POINT (-87.625363 41.651790)",711103178,,,,,,
130,,-87.625376,41.651864,,,0,"POINT (-87.625376 41.651864)",711103179,,,,,,
131,,-87.625402,41.651923,,,0,"POINT (-87.625402 41.651923)",711103181,,,,,,
132,,-87.625438,41.651984,,,0,"POINT (-87.625438 41.651984)",711103183,,,,,,
133,,-87.617857,41.644808,,,0,"POINT (-87.617857 41.644808)",716363539,,,,,,
134,,-87.615606,41.642651,,,0,"POINT (-87.615606 41.642651)",716363540,,,,,,
135,,-87.614708,41.641799,,,0,"POINT (-87.614708 41.641799)",716363541,,,,,,
136,,-87.614217,41.641376,,,0,"POINT (-87.614217 41.641376)",716363545,,,,,,
137,,-87.613906,41.641132,,,0,"POINT (-87.613906 41.641132)",716363546,,,,,,
138,,-87.613675,41.640994,,,0,"POINT (-87.613675 41.640994)",716363547,,,,,,
