o_zone_id,d_zone_id,volume
3,29,5.2448
3,29,5.2448
3,29,5.2448
3,29,5.2448
3,29,5.2448
3,29,5.2448
3,29,5.2448
3,29,5.2448
3,30,15.7345
3,30,15.7345
3,30,15.7345
3,30,15.7345
3,30,15.7345
3,30,15.7345
3,30,15.7345
3,30,15.7345
4,2,10.2917
4,2,10.2917
4,2,10.2917
4,2,10.2917
4,2,10.2917
4,2,10.2917
4,2,10.2917
4,2,10.2917
4,3,10.2917
4,3,10.2917
4,3,10.2917
4,3,10.2917
4,3,10.2917
4,3,10.2917
4,3,10.2917
4,3,10.2917
4,5,6.8611
4,5,6.8611
4,5,6.8611
4,5,6.8611
4,5,6.8611
4,5,6.8611
4,5,6.8611
4,5,6.8611
4,6,10.2917
4,6,10.2917
4,6,10.2917
4,6,10.2917
4,6,10.2917
4,6,10.2917
4,6,10.2917
4,6,10.2917
4,7,3.4306
4,7,3.4306
4,7,3.4306
4,7,3.4306
4,7,3.4306
4,7,3.4306
4,7,3.4306
4,7,3.4306
4,8,3.4306
4,8,3.4306
4,8,3.4306
4,8,3.4306
4,8,3.4306
4,8,3.4306
4,8,3.4306
4,8,3.4306
4,9,6.8611
4,9,6.8611
4,9,6.8611
4,9,6.8611
4,9,6.8611
4,9,6.8611
4,9,6.8611
4,9,6.8611
4,10,3.4306
4,10,3.4306
4,10,3.4306
4,10,3.4306
4,10,3.4306
4,10,3.4306
4,10,3.4306
4,10,3.4306
4,11,3.4306
4,11,3.4306
4,11,3.4306
4,11,3.4306
4,11,3.4306
4,11,3.4306
4,11,3.4306
4,11,3.4306
4,12,6.8611
4,12,6.8611
4,12,6.8611
4,12,6.8611
4,12,6.8611
4,12,6.8611
4,12,6.8611
4,12,6.8611
4,13,3.4306
4,13,3.4306
4,13,3.4306
4,13,3.4306
4,13,3.4306
4,13,3.4306
4,13,3.4306
4,13,3.4306
4,14,3.4306
4,14,3.4306
4,14,3.4306
4,14,3.4306
4,14,3.4306
4,14,3.4306
4,14,3.4306
4,14,3.4306
4,15,6.8611
4,15,6.8611
4,15,6.8611
4,15,6.8611
4,15,6.8611
4,15,6.8611
4,15,6.8611
4,15,6.8611
4,16,6.8611
4,16,6.8611
4,16,6.8611
4,16,6.8611
4,16,6.8611
4,16,6.8611
4,16,6.8611
4,16,6.8611
4,17,20.5831
4,17,20.5831
4,17,20.5831
4,17,20.5831
4,17,20.5831
4,17,20.5831
4,17,20.5831
4,17,20.5831
4,18,3.4306
4,18,3.4306
4,18,3.4306
4,18,3.4306
4,18,3.4306
4,18,3.4306
4,18,3.4306
4,18,3.4306
4,19,3.4306
4,19,3.4306
4,19,3.4306
4,19,3.4306
4,19,3.4306
4,19,3.4306
4,19,3.4306
4,19,3.4306
4,20,6.8611
4,20,6.8611
4,20,6.8611
4,20,6.8611
4,20,6.8611
4,20,6.8611
4,20,6.8611
4,20,6.8611
4,21,10.2917
4,21,10.2917
4,21,10.2917
4,21,10.2917
4,21,10.2917
4,21,10.2917
4,21,10.2917
4,21,10.2917
4,22,10.2917
4,22,10.2917
4,22,10.2917
4,22,10.2917
4,22,10.2917
4,22,10.2917
4,22,10.2917
4,22,10.2917
4,23,6.8611
4,23,6.8611
4,23,6.8611
4,23,6.8611
4,23,6.8611
4,23,6.8611
4,23,6.8611
4,23,6.8611
4,24,3.4306
4,24,3.4306
4,24,3.4306
4,24,3.4306
4,24,3.4306
4,24,3.4306
4,24,3.4306
4,24,3.4306
4,25,3.4306
4,25,3.4306
4,25,3.4306
4,25,3.4306
4,25,3.4306
4,25,3.4306
4,25,3.4306
4,25,3.4306
4,26,3.4306
4,26,3.4306
4,26,3.4306
4,26,3.4306
4,26,3.4306
4,26,3.4306
4,26,3.4306
4,26,3.4306
4,27,3.4306
4,27,3.4306
4,27,3.4306
4,27,3.4306
4,27,3.4306
4,27,3.4306
4,27,3.4306
4,27,3.4306
4,28,6.8611
4,28,6.8611
4,28,6.8611
4,28,6.8611
4,28,6.8611
4,28,6.8611
4,28,6.8611
4,28,6.8611
4,29,3.4306
4,29,3.4306
4,29,3.4306
4,29,3.4306
4,29,3.4306
4,29,3.4306
4,29,3.4306
4,29,3.4306
4,30,10.2917
4,30,10.2917
4,30,10.2917
4,30,10.2917
4,30,10.2917
4,30,10.2917
4,30,10.2917
4,30,10.2917
5,2,10.2917
5,2,10.2917
5,2,10.2917
5,2,10.2917
5,2,10.2917
5,2,10.2917
5,2,10.2917
5,2,10.2917
5,3,10.2917
5,3,10.2917
5,3,10.2917
5,3,10.2917
5,3,10.2917
5,3,10.2917
5,3,10.2917
5,3,10.2917
5,4,6.8611
5,4,6.8611
5,4,6.8611
5,4,6.8611
5,4,6.8611
5,4,6.8611
5,4,6.8611
5,4,6.8611
5,6,10.2917
5,6,10.2917
5,6,10.2917
5,6,10.2917
5,6,10.2917
5,6,10.2917
5,6,10.2917
5,6,10.2917
5,7,3.4306
5,7,3.4306
5,7,3.4306
5,7,3.4306
5,7,3.4306
5,7,3.4306
5,7,3.4306
5,7,3.4306
5,8,3.4306
5,8,3.4306
5,8,3.4306
5,8,3.4306
5,8,3.4306
5,8,3.4306
5,8,3.4306
5,8,3.4306
5,9,6.8611
5,9,6.8611
5,9,6.8611
5,9,6.8611
5,9,6.8611
5,9,6.8611
5,9,6.8611
5,9,6.8611
5,10,3.4306
5,10,3.4306
5,10,3.4306
5,10,3.4306
5,10,3.4306
5,10,3.4306
5,10,3.4306
5,10,3.4306
5,11,3.4306
5,11,3.4306
5,11,3.4306
5,11,3.4306
5,11,3.4306
5,11,3.4306
5,11,3.4306
5,11,3.4306
5,12,6.8611
5,12,6.8611
5,12,6.8611
5,12,6.8611
5,12,6.8611
5,12,6.8611
5,12,6.8611
5,12,6.8611
5,13,3.4306
5,13,3.4306
5,13,3.4306
5,13,3.4306
5,13,3.4306
5,13,3.4306
5,13,3.4306
5,13,3.4306
5,14,3.4306
5,14,3.4306
5,14,3.4306
5,14,3.4306
5,14,3.4306
5,14,3.4306
5,14,3.4306
5,14,3.4306
5,15,6.8611
5,15,6.8611
5,15,6.8611
5,15,6.8611
5,15,6.8611
5,15,6.8611
5,15,6.8611
5,15,6.8611
5,16,6.8611
5,16,6.8611
5,16,6.8611
5,16,6.8611
5,16,6.8611
5,16,6.8611
5,16,6.8611
5,16,6.8611
5,17,20.5831
5,17,20.5831
5,17,20.5831
5,17,20.5831
5,17,20.5831
5,17,20.5831
5,17,20.5831
5,17,20.5831
5,18,3.4306
5,18,3.4306
5,18,3.4306
5,18,3.4306
5,18,3.4306
5,18,3.4306
5,18,3.4306
5,18,3.4306
