full_id,osm_id,osm_type,highway,name,name:en,name:zh,oneway,name:ru,name:vi,name:zh-Hans,name:zh_pinyin,lanes,int_name,surface,lit,bridge,layer,trolley_wire,ref,alt_name,alt_name:en,bicycle,junction,cycleway:right,designation,name:fr,foot,maxspeed,maxheight,horse,oneway:hour_off,oneway:hour_on,oneway:psv,alt_name:zh_pinyin,wikipedia,cycleway,maxaxleload,maxweight,name:zh-Hant,bridge:name,access,psv,roundabout,local_name,tunnel,cutting,bridge_name,int_ref,tunnel:name,motor_vehicle
w237008293,"237008293",way,primary,,Outer Chongwenmen Str,崇文门外大街,yes,,,,Chóngwénmén wài dà jiē,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w237008295,"237008295",way,primary,珠市口东大街,Zhushikou East Avenue,珠市口东大街,yes,,,,zhūshìkǒu dōng dàjiē,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w237008296,"237008296",way,primary,珠市口西大街,Zhushikou West Avenue,珠市口西大街,yes,,,,zhūshìkǒu xī dàjiē,,,,,,,,,,,,,,,Avenue Ouest Zhūshìkǒu,,,,,,,,,,,,,,,,,,,,,,,,
w237011435,"237011435",way,primary,中关村北大街,Zhongguancun North Street,中关村北大街,yes,,,,Zhōngguāncūn běidàjiē,,,,,,,,,,,,,,,,,,,,,,,,,lane,,,,,,,,,,,,,,
w237011436,"237011436",way,primary,中关村北大街,Zhongguancun North Street,中关村北大街,yes,,,,Zhōngguāncūn běidàjiē,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w237011437,"237011437",way,primary,中关村北大街,Zhongguancun North Street,中关村北大街,yes,,,,Zhōngguāncūn běidàjiē,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w237939155,"237939155",way,primary,石景山路,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w237963916,"237963916",way,primary,复兴路,Fuxing Road,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w237963919,"237963919",way,primary,复兴路,Fuxing Road,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w237963922,"237963922",way,primary,万寿路,Wanshou Road,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w238182168,"238182168",way,primary,西环南路辅路,,,yes,,,,,,,,,,,,S302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w238183046,"238183046",way,primary,,,,,,,,,,,,,,,,S302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w238313292,"238313292",way,primary,科创街,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w238313293,"238313293",way,primary,科创街,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w238406331,"238406331",way,primary,珠市口西大街,Zhushikou West Avenue,珠市口西大街,yes,,,,zhūshìkǒu xī dàjiē,,,,,,,,,,,,,,,Avenue Ouest zhūshìkǒu,,,,,,,,,,,,,,,,,,,,,,,,
w238430051,"238430051",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w238689594,"238689594",way,primary,黄亦路,,,,,,,,,,,,,,,S329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w238689595,"238689595",way,primary,黄亦路,,,yes,,,,,"3",,,,,,,S329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w238748572,"238748572",way,primary,兴海二街,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w238748573,"238748573",way,primary,兴海二街,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w238762911,"238762911",way,primary,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w238762912,"238762912",way,primary,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w238819090,"238819090",way,primary,永昌中路,,,yes,,,,,,Yongchang Zhonglu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w239092018,"239092018",way,primary,朝阳北路,North Chaoyang Road,,yes,,,,cháoyáng běi lù,,Chaoyang Beilu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w239167098,"239167098",way,primary,成府路,Chengfu Road,成府路,yes,,,,chéngfǔ lù,,,asphalt,,,,,,,,,,,,Route Chéngfǔ,,"50",,,,,,,,,,,,,,,,,,,,,,
