name,link_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type,link_type_name,geometry
Redwood Rd,299,11172,5210,1,0.4974,2,39,892,1,,"LINESTRING(-111.938819 40.584171,-111.938741 40.576961)"
Connector,300,11173,1353,1,0.2648,7,21,10000,2,,"LINESTRING(-111.929246 40.584369,-111.934266 40.584068)"
Connector,301,11173,1354,1,0.3067,7,20,10000,2,,"LINESTRING(-111.929246 40.584369,-111.923428 40.584054)"
1300 West,302,11173,5114,1,0.2362,1,29,666,1,,"LINESTRING(-111.929246 40.584369,-111.929195 40.587794)"
1300 West,303,11173,5219,1,0.5262,1,29,666,1,,"LINESTRING(-111.929246 40.584369,-111.929172 40.57674)"
9800 South,304,11180,5211,1,0.3029,1,29,666,1,,"LINESTRING(-111.944442 40.573253,-111.938687 40.573111)"
Connector,305,11181,1349,1,0.3091,7,21,10000,2,,"LINESTRING(-111.931031 40.573173,-111.934352 40.57687)"
Connector,306,11181,1352,1,0.3966,7,21,10000,2,,"LINESTRING(-111.931031 40.573173,-111.933963 40.567876)"
9800 South,307,11181,5211,1,0.4027,1,29,666,1,,"LINESTRING(-111.931031 40.573173,-111.938687 40.573111)"
9800 South,308,11181,11182,1,0.0616,1,29,666,1,,"LINESTRING(-111.931031 40.573173,-111.930154 40.57258)"
9800 South,309,11182,5232,1,0.0505,1,29,666,1,,"LINESTRING(-111.930154 40.57258,-111.929201 40.572493)"
9800 South,310,11182,11181,1,0.0616,1,29,666,1,,"LINESTRING(-111.930154 40.57258,-111.931031 40.573173)"
Connector,311,11183,1355,1,0.2952,7,21,10000,2,,"LINESTRING(-111.923406 40.572477,-111.924746 40.576632)"
Connector,312,11183,1356,1,0.3674,7,21,10000,2,,"LINESTRING(-111.923406 40.572477,-111.924114 40.567177)"
9800 South,313,11183,5215,1,0.1961,1,29,666,1,,"LINESTRING(-111.923406 40.572477,-111.919678 40.572454)"
9800 South,314,11183,5232,1,0.3048,1,29,666,1,,"LINESTRING(-111.923406 40.572477,-111.929201 40.572493)"
9800 South,315,11184,5588,1,0.1725,1,24,633,1,,"LINESTRING(-111.91377 40.572331,-111.917018 40.571988)"
9800 South,316,11184,11257,1,0.335,1,24,633,1,,"LINESTRING(-111.91377 40.572331,-111.908371 40.569754)"
9000 South,317,11255,5117,1,0.1231,2,32,847,1,,"LINESTRING(-111.907886 40.587813,-111.910225 40.587717)"
