name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,3565,358021222,,,,,residential,0,-111.8689485,33.6127698,,,
,3566,358068671,turning_circle,,,,residential,2,-111.871299,33.6036938,,,
,3567,6189336923,,,,,residential,0,-111.8873767,33.5984665,,,
,3568,358079253,turning_circle,,,,residential,0,-111.8900793,33.5976002,,,
,3569,358079110,turning_circle,,,,residential,0,-111.890123,33.5984376,,,
,3570,358079371,turning_circle,,,,residential,0,-111.8876331,33.5976145,,,
,3571,5118990832,,,,,residential,0,-111.888926,33.5976014,,,
,3572,358079373,,,,,residential,0,-111.888997,33.5976014,,,
,3573,358079109,,,,,residential,0,-111.8876461,33.5984256,,,
,3574,358079483,,,,,residential,0,-111.8890058,33.5973298,,,
,3575,358093354,turning_circle,,,,residential,2,-111.8551811,33.5941784,,,
,3576,358093954,turning_circle,,,,residential,2,-111.8732575,33.5936687,,,
,3577,358459019,turning_circle,,,,residential,2,-111.8680397,33.5873051,,,
,3578,358472880,,,,,residential,0,-111.8820104,33.5878192,,,
,3579,358472881,,,,,residential,0,-111.8820341,33.5864784,,,
,3580,358473075,,,,,residential,0,-111.8797444,33.5872115,,,
,3581,358472902,,,,,residential,0,-111.8810964,33.5864894,,,
,3582,358472935,,,,,residential,0,-111.8795814,33.5878049,,,
,3583,358472936,,,,,residential,0,-111.881092,33.5878192,,,
,3584,358472950,,,,,residential,0,-111.881092,33.5872258,,,
,3585,448122356,,,,,residential,-1,-111.8461272,33.6068217,,,
,3586,448122357,,,,,residential,1,-111.8461994,33.6068109,,,
,3587,448127143,,,,,residential,2,-111.8441797,33.605924,,,
,3588,448127175,,,,,residential,2,-111.8446775,33.6058668,,,
,3589,5200262033,,,,,tertiary,0,-111.8696249,33.6127152,,,
,3590,2618771454,,,,,tertiary,0,-111.8908494,33.6116249,,,
,3591,608493044,,,,,tertiary,0,-111.8920364,33.6116342,,,
,3592,904358935,turning_circle,,,,residential,2,-111.9035342,33.5673567,,,
,3593,981827169,,,,,residential,2,-111.8942678,33.5834239,,,
,3595,1076391529,,,,,residential,0,-111.7896876,33.590058,,,
,3596,1076391721,,,,,residential,0,-111.7896852,33.5899281,,,
,3597,2097475039,,,,,residential,0,-111.789694,33.58971,,,
,3598,1076391679,,,,,tertiary,0,-111.7897026,33.5896211,,,
,3599,1076391551,,,,,residential,0,-111.7895366,33.589928,,,
,3600,1076391546,,,,,tertiary,0,-111.7895454,33.5896203,,,
,3601,2097475029,,,,,residential,0,-111.7895434,33.5897053,,,
,3602,1076391677,,,,,residential,0,-111.7895419,33.590063,,,
,3603,3938301581,,,,,residential,0,-111.7838605,33.5867378,,,
,3604,42340918,turning_circle,,,,residential,2,-111.7787581,33.5877008,,,
,3605,3938323486,,,,,residential,0,-111.786107,33.5932261,,,
,3606,41975105,,,,,tertiary,0,-111.7873876,33.59324,,,
,3607,5085860411,,,,,residential,0,-111.788363,33.5932595,,,
,3608,5085860412,,,,,residential,0,-111.788549,33.593268,,,
,3609,5085815624,,,,,residential,0,-111.7896578,33.593288,,,
,3610,9181179842,,,,,residential,0,-111.7898959,33.5933868,,,
,3611,9181179859,,,,,residential,0,-111.7899804,33.593438,,,
,3612,41793704,,,,,residential,0,-111.8509453,33.5811171,,,
,3613,1079695108,turning_circle,,,,residential,2,-111.8514282,33.5814622,,,
,3614,41510104,,,,,residential,0,-111.8267119,33.5729325,,,
,3615,3934208141,,,,,residential,2,-111.8306802,33.5765636,,,
,3616,2222986657,,,,,tertiary,0,-111.8350564,33.581308,,,
,3617,5164553547,,,,,secondary,0,-111.8351333,33.583266,,,
,3619,5200067601,,,,,tertiary,0,-111.8171981,33.5896342,,,
,3620,1111269402,,,,,tertiary,0,-111.8317897,33.5896476,,,
,3621,1111269403,,,,,tertiary,0,-111.8312634,33.5896467,,,
,3622,5193063961,,,,,tertiary,0,-111.7901158,33.5896213,,,
,3623,1111269674,,,,,primary,0,-111.8184533,33.5823427,,,
,3624,41582726,,,,,primary,0,-111.817719,33.582347,,,
,3627,5136971136,,,,,primary,0,-111.7883,33.5823333,,,
,3628,1111271470,,,,,residential,0,-111.8133742,33.5772351,,,
,3629,41820436,,,,,residential,0,-111.8133744,33.5775056,,,
,3630,41820458,,,,,residential,0,-111.8134395,33.5951664,,,
,3631,1111277647,,,,,residential,0,-111.8415447,33.5976646,,,
,3632,1111277648,,,,,residential,0,-111.841283,33.5980571,,,
,3633,41889199,,,,,residential,0,-111.8410885,33.5985162,,,
,3634,41653399,,,,,secondary,0,-111.8696312,33.625376,,,
,3635,1111278488,,,,,secondary,0,-111.8705727,33.6249773,,,
,3636,5163016784,,,,,secondary,0,-111.8712472,33.6245812,,,
,3638,933625396,,,,,secondary,0,-111.8694944,33.6252174,,,
,3639,1134022468,,,,,secondary,0,-111.8670972,33.6262105,,,
,3640,1111278487,,,,,secondary,0,-111.8704265,33.6248321,,,
,3641,1131443242,,,,,secondary,0,-111.8898193,33.630998,,,
,3642,1131443248,,,,,secondary,0,-111.8898141,33.6313717,,,
,3643,1131443329,,,,,secondary,0,-111.8909725,33.6312706,,,
,3644,1131443311,,,,,secondary,0,-111.8909657,33.6315686,,,
,3645,933625365,,,,,secondary,0,-111.8672206,33.6263535,,,
,3646,41653403,,,,,secondary,0,-111.8664611,33.6268182,,,
,3647,1134022466,,,,,secondary,0,-111.8663247,33.6266706,,,
,3648,1134022481,,,,,residential,0,-111.8654353,33.6276188,,,
,3649,1148653273,turning_circle,,,,residential,2,-111.8677283,33.6326479,,,
,3650,1224380077,,,,,motorway,0,-111.8902834,33.6293859,,,
,3651,4341085381,,,,,motorway,0,-111.8902765,33.6299821,,,
,3652,257964183,,,,,motorway,0,-111.8901767,33.6293863,,,
,3653,4341085384,,,,,motorway,0,-111.8902008,33.6300357,,,
,3654,1224380064,,,,,motorway,1,-111.8905308,33.6317685,,,
,3655,4341085386,motorway_junction,,,,motorway,0,-111.8905391,33.6310027,,,
,3656,1224380087,,,,,motorway,0,-111.8902654,33.6317656,,,
,3657,257933935,,,,,motorway,-1,-111.8902522,33.6327182,,,
,3658,257940101,,,,,motorway,0,-111.890098,33.5777899,,,
,3659,257940096,,,,,motorway,0,-111.8914096,33.5817681,,,
,3660,257940098,,,,,motorway,0,-111.8909695,33.5795957,,,
,3661,1224392316,,,,,motorway,0,-111.8906816,33.5690642,,,
,3662,257939677,,,,,motorway,0,-111.8904748,33.5700537,,,
,3663,257939699,,,,,motorway,0,-111.8912689,33.5685003,,,
,3664,4352733480,,,,,motorway,0,-111.8901685,33.5649644,,,
,3665,257955813,,,,,motorway,0,-111.891195,33.5962637,,,
,3666,2460932379,traffic_signals,,signal,,motorway,0,-111.8912948,33.5963384,,,
,3667,3693604426,,,,,motorway,0,-111.8914633,33.5964437,,,
,3668,3693604727,,,,,secondary,0,-111.8916369,33.5964447,,,
,3669,257933906,,,,,motorway,0,-111.8888283,33.5644317,,,
,3670,1224392322,,,,,motorway,0,-111.8893139,33.5648452,,,
,3671,2460932393,,,,,motorway,0,-111.8916298,33.5965933,,,
,3672,257939922,,,,,primary,0,-111.8910489,33.5822324,,,
,3673,1224392298,,,,,motorway,0,-111.8908374,33.5820816,,,
,3674,1224392324,,,,,motorway,0,-111.8908562,33.5688091,,,
,3675,257933913,,,,,motorway,0,-111.8908195,33.5690818,,,
,3676,1224392317,,,,,motorway,0,-111.8894855,33.5647429,,,
,3677,1224392318,,,,,motorway,0,-111.888969,33.5643108,,,
,3678,1224392308,,,,,secondary,0,-111.8884978,33.5753199,,,
,3679,4352733481,,,,,secondary,0,-111.8876942,33.5753106,,,
,3680,1224392310,,,,,motorway,0,-111.891223,33.5688614,,,
,3681,1224392330,,,,,tertiary,0,-111.891709,33.618071,,,
,3682,257965862,,,,,tertiary,0,-111.8920672,33.6174433,,,
,3683,1224392291,,,,,secondary,0,-111.891215,33.5964468,,,
,3684,41885320,,,,,secondary,0,-111.8901831,33.5964767,,,
,3685,257939942,,,,,motorway,0,-111.8908569,33.5828528,,,
,3686,5746102615,,,,,motorway,0,-111.8909417,33.5833537,,,
,3687,5747768752,,,,,secondary,0,-111.8914183,33.6183714,,,
,3688,257957646,,,,,motorway,0,-111.8918466,33.5963277,,,
,3689,1224392301,,,,,motorway,0,-111.8910291,33.5691087,,,
,3690,1224392285,,,,,motorway,0,-111.8910726,33.5687896,,,
,3691,1224392294,,,,,motorway,0,-111.8907164,33.568723,,,
,3692,257940047,,,,,motorway,0,-111.8914586,33.5825328,,,
,3693,4553801747,,,,,motorway,0,-111.8912282,33.5823917,,,
,3694,13365822,,,,,motorway,0,-111.8830009,33.5614141,,,
,3695,1224392306,,,,,secondary,0,-111.8893988,33.5752305,,,
,3696,1640875733,,,,,secondary,0,-111.888714,33.5753086,,,
,3697,257956124,,,,,motorway,0,-111.8911934,33.5967448,,,
,3698,257956128,,,,,motorway,0,-111.8909291,33.5973267,,,
,3699,1224392332,,,,,secondary,0,-111.8909927,33.6185352,,,
,3700,257961879,,,,,secondary,0,-111.8906564,33.6191155,,,
,3701,1224392279,,,,,primary,0,-111.8907873,33.5822693,,,
